name,room,name-FAN-STAT,name-ZN-H,name-ZN-H-STPT,name-ZN-T
CRAC-1,Lab,CRAC-1_FAN-STAT,CRAC-1_ZN-H,CRAC-1_ZN-H-STPT,CRAC-1_ZN-T
CRAC-2,Lab,CRAC-2_FAN-STAT,CRAC-2_ZN-H,CRAC-2_ZN-H-STPT,CRAC-2_ZN-T
CRAC-3,Lab,CRAC-3_FAN-STAT,CRAC-3_ZN-H,CRAC-3_ZN-H-STPT,CRAC-3_ZN-T
CRAC-4,Lab,CRAC-4_FAN-STAT,CRAC-4_ZN-H,CRAC-4_ZN-H-STPT,CRAC-4_ZN-T
CRAC-5,Lab,CRAC-5_FAN-STAT,CRAC-5_ZN-H,CRAC-5_ZN-H-STPT,CRAC-5_ZN-T
CRAC-7,Lab,CRAC-7_FAN-STAT,CRAC-7_ZN-H,CRAC-7_ZN-H-STPT,CRAC-7_ZN-T
CRAC-8,Server Room,CRAC-8_FAN-STAT,CRAC-8_ZN-H,CRAC-8_ZN-H-STPT,CRAC-8_ZN-T
CRAC-9,Server Room,CRAC-9_FAN-STAT,CRAC-9_ZN-H,CRAC-9_ZN-H-STPT,CRAC-9_ZN-T
CRAC-10,Server Room,CRAC-10_FAN-STAT,CRAC-10_ZN-H,CRAC-10_ZN-H-STPT,CRAC-10_ZN-T
